mode	numPoints	correct	avgTime	ratio	perImprov	avgFST3	avgFST4
Euclidean	50	0.9791666666666666	0.0444778619999999	0.9677523311874314	0.0322476688125685	15	1
Euclidean	50	0.9583333333333334	0.0291732649999998	0.9850771886275936	0.0149228113724064	12	2
Euclidean	50	1.0	0.0912335880000001	0.9797266246669288	0.0202733753330712	11	1
Euclidean	50	0.9565217391304348	0.0274344829999999	0.9787672903959608	0.0212327096040392	12	2
Euclidean	50	0.9791666666666666	0.040142603	0.9766245651325932	0.0233754348674067	15	1
Euclidean	50	0.9787234042553192	0.0338633509999999	0.973349943681111	0.0266500563188889	9	3
Euclidean	50	0.9791666666666666	0.025569822	0.982468602183986	0.0175313978160139	9	2
Euclidean	50	0.9791666666666666	0.028777035	0.9755013060891948	0.0244986939108052	15	1
Euclidean	50	0.9787234042553192	0.0272679229999996	0.9844829381058848	0.0155170618941152	14	2
Euclidean	50	1.0	0.025956571	0.9788301567597576	0.0211698432402422	11	3
Euclidean	50	0.9787234042553192	0.0273524329999999	0.9788013202154054	0.0211986797845945	10	3
Euclidean	50	0.9782608695652174	0.029154402	0.9796940641711782	0.0203059358288217	12	0
Euclidean	50	0.9787234042553192	0.0280457599999999	0.9741502710071164	0.0258497289928837	11	3
Euclidean	50	0.9574468085106383	0.0280198249999998	0.9764478335787904	0.0235521664212096	12	3
Euclidean	50	0.9782608695652174	0.0411576239999997	0.9713561446221148	0.0286438553778851	14	0
Euclidean	50	1.0	0.0512081019999999	0.9735644866109796	0.0264355133890202	13	1
Euclidean	50	1.0	0.0270999619999998	0.98216399308768	0.0178360069123201	11	1
Euclidean	50	1.0	0.0354224169999999	0.9726677160938104	0.0273322839061895	13	1
Euclidean	50	0.9787234042553192	0.0271376759999997	0.9670511237250748	0.0329488762749252	13	1
Euclidean	50	0.9787234042553192	0.0423782840000002	0.9747407909157824	0.0252592090842177	13	1
Euclidean	50	0.9791666666666666	0.0271102230000002	0.9766796699893412	0.0233203300106589	11	1
Euclidean	50	0.9791666666666666	0.025187931	0.980147411046236	0.0198525889537639	11	2
Euclidean	50	0.9791666666666666	0.0278282540000001	0.9745222379533084	0.0254777620466915	12	1
Euclidean	50	1.0	0.0280782539999999	0.9603057164553396	0.0396942835446604	16	1
Euclidean	50	0.9791666666666666	0.0321103580000001	0.9734768545171374	0.0265231454828626	13	1
Euclidean	50	1.0	0.026176822	0.9766049310755086	0.0233950689244913	13	1
Euclidean	50	1.0	0.0242481609999996	0.968689794032282	0.0313102059677179	14	0
Euclidean	50	0.9782608695652174	0.0298724559999996	0.9701626849252444	0.0298373150747555	10	2
Euclidean	50	1.0	0.026816803	0.9863723312944384	0.0136276687055616	13	1
Euclidean	50	1.0	0.0266538119999997	0.972898290226642	0.0271017097733579	12	2
Euclidean	50	0.9782608695652174	0.0285591339999999	0.9768692981573716	0.0231307018426284	13	0
Euclidean	50	0.9555555555555556	0.0275124929999996	0.9796284064716158	0.0203715935283842	10	1
Euclidean	50	0.9787234042553192	0.041270683	0.9691053144295269	0.0308946855704731	15	1
Euclidean	50	1.0	0.0281267340000002	0.9728531935068933	0.0271468064931068	13	2
Euclidean	50	1.0	0.0378964930000003	0.975849460851441	0.024150539148559	13	1
Euclidean	50	1.0	0.0286667449999997	0.9871755207062548	0.0128244792937453	9	2
Euclidean	50	1.0	0.0283385539999998	0.9634784682580853	0.0365215317419147	14	1
Euclidean	50	1.0	0.026236801	0.9743667575271758	0.0256332424728241	12	2
Euclidean	50	0.9555555555555556	0.0270040229999999	0.9732020665059632	0.0267979334940368	14	0
Euclidean	50	1.0	0.0382106179999999	0.9692851933568823	0.0307148066431176	14	1
Euclidean	50	0.9782608695652174	0.0300863689999997	0.9801793897865336	0.0198206102134662	11	3
