mode	paramCurves	correct	avgTime	ratio	perImprov	avgFST3	avgFST4
3+1	0.4	1.0	0.0029427919998852	0.8638681288289051	0.1361318711710949	1	0
3+1	0.4	1.0	0.0028224530001352	0.8644829842956444	0.1355170157043556	1	0
3+1	0.4	1.0	0.0025948160000552	0.8637573160530244	0.1362426839469755	1	0
3+1	0.4	1.0	0.0023343810003098	0.8791633547195247	0.1208366452804753	1	0
3+1	0.4	1.0	0.0017068309998649	0.8629655102713637	0.1370344897286363	1	0
3+1	0.4	1.0	0.0018410120001135	0.8634391468028154	0.1365608531971845	1	0
3+1	0.4	1.0	0.0014623120000578	0.8620146579144167	0.1379853420855833	1	0
3+1	0.4	1.0	0.0013484619998962	0.8626293942731004	0.1373706057268996	1	0
3+1	0.4	1.0	0.0014340399998218	0.8624872318893025	0.1375127681106974	1	0
3+1	0.4	1.0	0.0014086910000514	0.8640857618141556	0.1359142381858443	1	0
3+1	0.4	1.0	0.0014512609996018	0.8625445255998005	0.1374554744001994	1	0
3+1	0.4	1.0	0.0014140309999675	0.868490035605209	0.131509964394791	1	0
3+1	0.4	1.0	0.0014775510003346	0.8639087697422859	0.136091230257714	1	0
3+1	0.4	1.0	0.0013884909999433	0.8693400993711102	0.1306599006288897	1	0
3+1	0.4	1.0	0.001475720000144	0.8667879427688323	0.1332120572311677	1	0
3+1	0.4	1.0	0.0014575410000361	0.8652930176697188	0.1347069823302812	1	0
3+1	0.4	1.0	0.0014930009997442	0.8665892407950602	0.1334107592049398	1	0
3+1	0.4	1.0	0.0014368910001394	0.8615847140246526	0.1384152859753473	1	0
3+1	0.4	1.0	0.0013243110001894	0.8641128860306869	0.135887113969313	1	0
3+1	0.4	1.0	0.0014745299999958	0.8655496559525437	0.1344503440474562	1	0
3+1	0.4	1.0	0.0014042819998394	0.8715205481412953	0.1284794518587046	1	0
3+1	0.4	1.0	0.0013921219997428	0.8635258420331066	0.1364741579668934	1	0
3+1	0.4	1.0	0.0014059219997761	0.8642549412677328	0.1357450587322671	1	0
3+1	0.4	1.0	0.001406911000231	0.8705806661567372	0.1294193338432627	1	0
3+1	0.4	1.0	0.0014366310001605	0.8638346227114918	0.1361653772885082	1	0
3+1	0.4	1.0	0.0014001119998283	0.8634109535766701	0.1365890464233299	1	0
3+1	0.4	1.0	0.0014293309995991	0.8673547066156485	0.1326452933843515	1	0
3+1	0.4	1.0	0.00139222100006	0.8631740392422657	0.1368259607577343	1	0
3+1	0.4	1.0	0.0012993010000172	0.8706857904798604	0.1293142095201396	1	0
3+1	0.4	1.0	0.0017908320000969	0.8673210465974177	0.1326789534025823	1	0
3+1	0.4	1.0	0.0013821809998262	0.8710506993529511	0.1289493006470489	1	0
3+1	0.4	1.0	0.0016830720001053	0.8620683989533584	0.1379316010466416	1	0
3+1	0.4	1.0	0.0013898019997213	0.8707759658117014	0.1292240341882986	1	0
3+1	0.4	1.0	0.001446370999929	0.8616087538838747	0.1383912461161253	1	0
3+1	0.4	1.0	0.0015749200001664	0.8685558932307134	0.1314441067692866	1	0
3+1	0.4	1.0	0.0014169199998832	0.8669098613226214	0.1330901386773786	1	0
3+1	0.4	1.0	0.0014281320000009	0.8662480448658457	0.1337519551341542	1	0
3+1	0.4	1.0	0.0013881710001442	0.8625997650921676	0.1374002349078323	1	0
3+1	0.4	1.0	0.0014307009996628	0.8650259771067743	0.1349740228932257	1	0
3+1	0.4	1.0	0.0014067209999666	0.8657444735378373	0.1342555264621626	1	0
3+1	0.4	1.0	0.0013869609997527	0.8637068093863757	0.1362931906136243	1	0
3+1	0.4	1.0	0.0018360610001764	0.8636254782887451	0.1363745217112548	1	0
3+1	0.4	1.0	0.0014141810002001	0.8646939665824089	0.135306033417591	1	0
3+1	0.4	1.0	0.0014172320002217	0.8676693204150233	0.1323306795849766	1	0
3+1	0.4	1.0	0.00129809200007	0.8660303701634929	0.133969629836507	1	0
3+1	0.4	1.0	0.0014119219999884	0.8660878321035861	0.1339121678964139	1	0
3+1	0.4	1.0	0.0014637520002906	0.8645045121780284	0.1354954878219716	1	0
3+1	0.4	1.0	0.0017302420001215	0.8626420245044872	0.1373579754955127	1	0
3+1	0.4	1.0	0.001457850999941	0.8720391817514557	0.1279608182485443	1	0
3+1	0.4	1.0	0.0014010710001457	0.8628745156696593	0.1371254843303406	1	0
3+1	0.4	1.0	0.0013399719996414	0.8666370184349793	0.1333629815650207	1	0
3+1	0.4	1.0	0.001413882000179	0.8615873268040656	0.1384126731959344	1	0
3+1	0.4	1.0	0.0013909509998484	0.8609507898010929	0.1390492101989071	1	0
3+1	0.4	1.0	0.0014297699999588	0.861759843875657	0.138240156124343	1	0
3+1	0.4	1.0	0.001482580999891	0.8636485084047929	0.1363514915952071	1	0
3+1	0.4	1.0	0.0014420809998227	0.8635728912444678	0.1364271087555322	1	0
3+1	0.4	1.0	0.0013956909997432	0.8690873924300543	0.1309126075699457	1	0
3+1	0.4	1.0	0.0014182410000103	0.8620178267656349	0.1379821732343651	1	0
3+1	0.4	1.0	0.0012383409998619	0.8633277046584367	0.1366722953415633	1	0
3+1	0.4	1.0	0.0013856710002073	0.8725744858736909	0.1274255141263091	1	0
3+1	0.4	1.0	0.0013877910000701	0.8671889115242558	0.1328110884757442	1	0
3+1	0.4	1.0	0.00141442200038	0.8702194699386284	0.1297805300613715	1	0
3+1	0.4	1.0	0.0015234019997478	0.8624460952383547	0.1375539047616453	1	0
3+1	0.4	1.0	0.0013945719997536	0.8647486184566534	0.1352513815433466	1	0
3+1	0.4	1.0	0.0014007109998601	0.8621603735908515	0.1378396264091484	1	0
3+1	0.4	1.0	0.0014669409997623	0.8626565211054763	0.1373434788945237	1	0
3+1	0.4	1.0	0.001397280999754	0.866713605440749	0.1332863945592509	1	0
3+1	0.4	1.0	0.0014129010000942	0.8669163151344914	0.1330836848655086	1	0
3+1	0.4	1.0	0.0013697809999939	0.8685967531179708	0.1314032468820292	1	0
3+1	0.4	1.0	0.0014011519997438	0.8631760246489026	0.1368239753510973	1	0
3+1	0.4	1.0	0.0014865920002193	0.8624674868670507	0.1375325131329493	1	0
3+1	0.4	1.0	0.0014122020002105	0.8629777285415182	0.1370222714584817	1	0
3+1	0.4	1.0	0.0014329720002024	0.8697523275513187	0.1302476724486813	1	0
3+1	0.4	1.0	0.0013919719999648	0.8651355305943684	0.1348644694056315	1	0
3+1	0.4	1.0	0.001457672000015	0.8616197149249014	0.1383802850750985	1	0
